RIC,Name,Last,Net,%Ch,PDClose,Ccy,Price Close 30/08/20,Historic P/E,P/E (Daily Time Series Ratio),"AVG(TR.Volume(SDate=0D,EDate=0D-29D))/*AVG VOLUME LAST 30 DAYS*//*AVG VOLUME LAST 30 DAYS*/","AVG(TR.Volume(SDate=0D,EDate=0D-249D))/*AVG VOLUME LAST 12 MONTHS*/"
MA.N,MASTERCARD I O/d,341.97,4.87,1.4447,337.1,USD,298.59,28.00645573,46.81905429,797238.2667,1153283.328
MCD.N,MCDONALD'S COR/d,211.58,0.01,0.0047,211.57,USD,197.61,22.36747565,33.54430982,824548.5333,1164600.396
MDT.N,MEDTRONIC PLC/d,100.3,1.57,1.5902,98.73,USD,113.45,28.70190298,28.22970338,1213360.867,1626136.536
MRK.N,MERCK & CO/d,85.04,0.06,0.0706,84.98,USD,90.95,41.85477736,20.59167755,2141215.2,3084344.072
MS.N,MORGAN STANLEY/d,52.2,1.1,2.1526,51.1,USD,51.12,14.47716035,9.230124525,2041178.4,3103398.416
MUFG.N,MTSUBSH UFJ FI/d,4.065,0.045,1.1194,4.02,USD,5.43,10.34991897,17.10711934,201799.2,244754.776
NEE.N,NEXTERA ENERGY/d,281.88,-0.53,-0.1877,282.41,USD,242.16,19.1481279,38.52208121,489791.6,700148.284
NKE.N,NIKE INC CL B/d,111.3,1.55,1.4123,109.75,USD,101.31,21.14601083,69.4875334,1411634.767,1921501.944
NOC.N,NORTHROP GRUMM/d,343.15,5.29,1.5657,337.86,USD,343.97,20.54855035,23.75232788,252698.6667,282568.792
NVS.N,NOVARTIS AG/d,86.21,-0.19,-0.2199,86.4,USD,94.69,23.32907884,27.54785803,206939.9667,285544.08
NVO.N,NOVO-NORDISK A/d,65.86,-0.46,-0.6936,66.32,USD,57.88,16.92991101,23.80237835,172284.5667,343125.48
.NYA,NYSE COMPOSITE/d,12930.78,121.7,0.95,12809.07,USD,13913.03,,,,0
ORCL.N,ORACLE CORP/d,55.8,0.61,1.1053,55.19,USD,52.98,20.25073615,17.85506309,2511152.967,3820768.66
PTR.N,PETROCHINA ADR/d,34.91,0.19,0.5472,34.72,USD,50.33,119.1938272,22.9692539,32673.83333,36755.776
PFE.N,PFIZER INC/d,38.74,-0.14,-0.3601,38.88,USD,39.18,27.79560645,15.82333861,6806844.733,7312323.684
PM.N,PHILIP MORRIS/d,79.73,1.67,2.1394,78.06,USD,85.09,20.42328822,16.72748936,1143802.833,1693861.66
PG.N,PROCTER & GAMB/d,138.38,0.94,0.6839,137.44,USD,124.9,23.62505693,27.7183953,1977703.933,2589765.504
PLD.N,PROLOGIS/d,101.64,-1.4,-1.3587,103.04,USD,89.14,23.26739656,39.90163998,917530.6,1093775.504
RIO.N,RIO TINTO/d,61.69,0.16,0.26,61.53,USD,59.36,14.27637234,13.96358982,349922.9,477308.596
RY.N,ROYAL BK CAN/d,74.85,0.54,0.7267,74.31,USD,79.2,12.36110465,12.54453425,163645.4667,423624.964
RDSb.N,ROYAL DUTCH SH/d,28.85,0.83,2.9622,28.02,USD,59.97,46.90195267,,543583.9333,792468.608
RDSa.N,ROYAL DUTCH SH/d,30.54,0.91,3.0712,29.63,USD,58.98,46.90195267,,975548.7,920530.24
RTX.N,RYTHN TCHNLG O/d,61.52,1.25,2.074,60.27,USD,88.33063511,10.54528738,147.7712941,1721302.933,1776211.692
SPGI.N,S&P GLOBAL INC/d,358.83,-3.18,-0.8784,362.01,USD,273.05,13.54206806,34.12590603,250854.3667,423409.232
CRM.N,SALESFORCE COM/d,207.99,0.46,0.2217,207.53,USD,162.64,171.4236179,,1005515.867,1391768.176
SAP.N,SAP AE DRC/d,163.19,2.88,1.7965,160.31,USD,133.99,27.06548281,35.58741299,89073.73333,110717.396
SE.N,SEA LIMITED AD/d,150.11,2.69,1.8247,147.42,USD,40.22,,,822356.8333,906685.768
NOW.N,SERVICENOW INC/d,445.97,-3.45,-0.7677,449.42,USD,282.32,,122.7142284,373250.9667,564234.96
SHW.N,SHERWIN-WILLIA/d,669.94,-5.88,-0.8701,675.82,USD,583.54,22.41781012,36.00705415,112157.7667,153152.76
SHOP.N,SHOPIFY INC/d,993.54,-27.58,-2.701,1021.12,USD,397.58,,,302572.7667,462766.896
SNE.N,SONY CORP/d,79.46,0.71,0.9016,78.75,USD,68,66.04139665,15.76126592,211624.5667,276994.78
SO.N,SOUTHERN/d,52.83,0.46,0.8784,52.37,USD,63.7,19.25003522,17.17544734,944191.9,1486436.028
SQ.N,SQUARE INC/d,151.64,-3.46,-2.2308,155.1,USD,62.56,,343.8795646,1604205.133,1968489.408
SYK.N,STRYKER/d,188.32,-0.46,-0.2437,188.78,USD,209.94,27.5337306,44.84522246,345892.8667,441287.224
TSM.N,TAIWAN SEMI/d,78.55,0.21,0.2681,78.34,USD,58.1,14.47025953,26.24958851,2342998.067,1981406.516
TAK.N,TAKEDA PRMTL A/d,19.215,0.375,1.9904,18.84,USD,19.73,,,194046.8333,319424.18
TGT.N,TARGET CORP/d,152.8,-0.83,-0.5403,153.63,USD,128.21,13.91796051,28.56994084,875038.4,1224587.372
PGR.N,THE PROGRESSIV/d,91.68,-0.14,-0.1525,91.82,USD,72.39,20.14310113,12.32142522,608129.8,893610.292
TMO.N,THERMO FISHER /d,418.48,-10.09,-2.3543,428.57,USD,324.87,27.68631852,46.02652456,313823.8667,477805.188
TJX.N,TJX CO INC/d,53,1.32,2.5542,51.68,USD,61.06,21.46900496,37.97849747,1429955.633,1929410.892
TD.N,TORONTO DOMIN/d,48.24,1.08,2.2901,47.16,USD,56.13,13.01588847,10.92640836,333493.0333,547959.164
TOT.N,TOTAL SE ADR/d,39.59,1.25,3.2603,38.34,USD,55.3,20.32434415,,248177,368548.752
TM.N,TOYOTA MOTOR/d,134.56,0.73,0.5455,133.83,USD,140.54,10.09491953,12.95943001,44080.36667,57587.196
UBER.N,UBER TCHNLGS I/d,30.86,0.03,0.0973,30.83,USD,29.74,,,2902313.867,5198545.996
UN.N,UNILEVER NV/d,58.705,0.585,1.0065,58.12,USD,57.46,21.50131134,21.90685072,256981,393076.956
UL.N,UNILEVER PLC/d,60.18,0.62,1.041,59.56,USD,57.17,21.31279522,22.50284502,137529.9333,252467.02
UNP.N,UNION PACIFIC /d,191.99,0.42,0.2192,191.57,USD,180.79,20.46169058,23.80088609,747428.0333,971607.624
UPS.N,UNITED PARCEL /d,159.48,0.45,0.283,159.03,USD,117.06,29.71526329,31.59513408,985428.6333,1067495.268
UNH.N,UNITEDHEALTH G/d,307.78,-6.36,-2.0246,314.14,USD,293.98,22.0776193,17.66804723,767150.5667,1248240.264
VALE.N,VALE SA ADR/d,11.26,0.18,1.6245,11.08,USD,13.2,7.31213597,50.37194867,5365684.333,5454710.428
VZ.N,VERIZON COMMS/d,59.41,0.42,0.712,58.99,USD,61.4,16.61541143,12.75616671,2945139.3,4121213.836
V.N,VISA INC/d,205.04,0.91,0.4458,204.13,USD,187.9,33.32849728,38.81691416,1854162.2,2901998.364
VMW.N,VMWARE INC/d,141.32,2.47,1.7789,138.85,USD,151.79,,42.35078098,294497.1,359150.824
WMT.N,WALMART INC/d,130.85,-0.78,-0.5926,131.63,USD,118.84,15.22354015,25.03447161,1624386.4,2015255.888
DIS.N,WALT DISNEY CO/d,129.85,2.41,1.8911,127.44,USD,144.63,16.20675392,,2148984.9,2989722.104
WFC.N,WELLS FARGO & /d,24.29,0.65,2.7496,23.64,USD,53.8,13.81819458,27.01436424,7629154.067,7783011.508
ZTS.N,ZOETIS INC/d,156.48,-1.89,-1.1934,158.37,USD,132.35,32.48475286,46.84255672,414215.5,649989.932
