RIC,Name,Last,Net,%Ch,PDClose,Ccy,Historic_PE,PE_Daily_Time_Series_Ratio,Price Close 31/12/20
MRVL.OQ,MARVELL TECH G/d,34.48,1.02,3.0484,33.46,USD,104.3712823,15.62091503,26.56
MELI.OQ,MERCADOLIBRE/d,1201.02,-1.26,-0.1048,1202.28,USD,50.5603606,,571.94
MCHP.OQ,MICROCHIP TECH/d,106.6,-1.33,-1.2323,107.93,USD,101.5526069,43.19757296,104.72
MU.OQ,MICRON TECH/d,43.51,0.85,1.9925,42.66,USD,,21.32936012,53.78
MSFT.OQ,MICROSOFT CP/d,212.55,-0.47,-0.2206,213.02,USD,21.18009999,36.95549969,157.7
MRNA.OQ,MODERNA INC/d,65.31,-1.14,-1.7156,66.45,USD,,,19.56
MDLZ.OQ,MONDELEZ INT C/d,57.85,0.38,0.6612,57.47,USD,42.6487849,24.29004349,55.08
MNST.OQ,MONSTER BEV CO/d,82.91,0.18,0.2176,82.73,USD,37.31789222,38.98753982,63.55
MTCH.OQ,MTCH GRP INC O/d,111.58,-0.97,-0.8618,112.55,USD,,51.84891718,82.11
.IXIC,NASDAQ COMPOSI/d,11330.794,18.993,0.17,11311.801,USD,,,
NDAQ.OQ,NASDAQ INC/d,130.78,0.86,0.6619,129.92,USD,104.906144,27.16014282,107.1
NTES.OQ,NETEASE INC AD/d,489.51,4.53,0.9341,484.98,USD,16.37522922,27.63718032,306.64
NFLX.OQ,NETFLIX INC/d,485,-7.31,-1.4848,492.31,USD,290.9039641,87.21694486,323.57
NVDA.OQ,NVIDIA CORP/d,507.55,0.21,0.0414,507.34,USD,43.54058971,93.02197661,235.3
NXPI.OQ,NXP SEMICOND N/d,122.68,1.18,0.9712,121.5,USD,170.3455228,,127.26
ORLY.OQ,O REILLY AUTO/d,461.01,0.68,0.1477,460.33,USD,25.94973166,22.55753315,438.26
OKTA.OQ,OKTA INC/d,204.03,-4.36,-2.0922,208.39,USD,,,115.37
ODFL.OQ,OLD DOMINION/d,198.35,1.1,0.5577,197.25,USD,24.11949897,40.00705828,126.5200633
PCAR.OQ,PACCAR INC/d,86.81,-0.21,-0.2413,87.02,USD,39.78102994,18.35156469,79.1
PAYX.OQ,PAYCHEX INC/d,74.79,0.88,1.1906,73.91,USD,25.99152193,24.29555705,85.06
PYPL.OQ,PAYPAL HOLDI/d,196.67,-0.12,-0.061,196.79,USD,34.3142795,90.32118892,108.17
PEP.OQ,PEPSICO INC/d,137.195,0.735,0.5386,136.46,USD,24.00420297,27.79084568,136.67
PDD.OQ,PINDUODUO INC/d,83.37,-0.63,-0.75,84,USD,,,37.82
QCOM.OQ,QUALCOMM INC/d,115.06,2.06,1.823,113,USD,16.47669237,47.77103722,88.23
REGN.OQ,REGENERON PHAR/d,593.14,-12.35,-2.0397,605.49,USD,47.67402597,23.4415197,375.48
ROST.OQ,ROSS STORES/d,88.7,1.48,1.6969,87.22,USD,23.0864372,33.80253306,116.42
RPRX.OQ,RYLTY PHRM A O/d,42.55,0.58,1.3819,41.97,USD,,13.25161975,
SNY.OQ,SANOFI/d,51.45,0.59,1.16,50.86,USD,22.68608634,9.743780268,50.2
SBAC.OQ,SBA COMMS CORP/d,300.8,-4.175,-1.369,304.975,USD,169.5009849,,240.99
SGEN.OQ,SEATTLE GENETI/d,154.96,-2.54,-1.6127,157.5,USD,,,114.26
SIRI.OQ,SIRIUS XM HOLD/d,5.84,0.02,0.3436,5.82,USD,29.61730449,25.55770244,7.15
SWKS.OQ,SKYWORKS SOLUT/d,141.5,-0.55,-0.3872,142.05,USD,14.69702585,30.90791595,120.88
SPLK.OQ,SPLUNK INC/d,202.01,-0.34,-0.168,202.35,USD,,,149.77
SBUX.OQ,STARBUCKS CORP/d,78.3,1.23,1.596,77.07,USD,28.56585078,69.61305008,87.92
SNPS.OQ,SYNOPSYS/d,212.46,-0.64,-0.3003,213.1,USD,34.39138099,69.46934677,139.2
TMUS.OQ,T MOBILE US IN/d,115.1,0.09,0.0783,115.01,USD,34.0989944,41.00426764,78.42
TROW.OQ,T ROWE PRICE G/d,135.44,0.62,0.4599,134.82,USD,15.83654231,15.98842553,121.84
AMTD.OQ,TD AMERITRDE H/d,38,0.68,1.8221,37.32,USD,22.34934487,10.45126384,49.7
TSLA.OQ,TESLA INC/d,2005,-44.98,-2.1942,2049.98,USD,,1054.885454,418.33
TXN.OQ,TEXAS INSTRUME/d,139.95,-0.38,-0.2708,140.33,USD,20.96839081,26.31608557,128.29
KHC.OQ,THE KRFT HNZ C/d,34.86,0.3,0.8681,34.56,USD,31.33905179,,32.13
TTD.OQ,THE TRD DESK I/d,465.12,3.34,0.7233,461.78,USD,,186.2894995,259.78
VRSN.OQ,VERISIGN INC/d,206.77,0.04,0.0193,206.73,USD,22.24086917,30.66814818,192.68
VRSK.OQ,VERISK ANLYTCS/d,184.87,-0.78,-0.4201,185.65,USD,30.77302195,59.64007145,149.34
VRTX.OQ,VERTEX PHARM/d,266.74,-4.54,-1.6735,271.28,USD,,34.2885022,218.95
VOD.OQ,VODAFONE GRP A/d,15.285,0.295,1.968,14.99,USD,,,19.33
WBA.OQ,WALGREEN BOOTS/d,39.67,0.21,0.5322,39.46,USD,21.10297078,48.38630567,58.96
WLTW.OQ,WLS TWR WTSN L/d,195.13,-2.95,-1.4893,198.08,USD,40.17769133,25.29508592,201.94
WDAY.OQ,WORKDAY INC/d,191.17,-1.48,-0.7682,192.65,USD,,,164.45
XEL.OQ,XCEL ENERGY IN/d,70.16,0.55,0.7901,69.61,USD,18.44725761,26.06130265,63.49
XLNX.OQ,XILINX INC/d,101.84,-0.16,-0.1569,102,USD,24.77436031,39.92406599,97.77
XP.OQ,XP INC ORD A/d,46.13,2.61,5.9972,43.52,USD,,85.52678234,38.52
YNDX.OQ,YANDEX N V CL /d,64.94,1.37,2.1551,63.57,USD,59.16446891,198.4490759,43.49
ZM.OQ,ZOOM VIDEO COM/d,282.39,-7.29,-2.5166,289.68,USD,,1601.592304,68.04
AAPL.OQ,,502.57,5.09,1.0232,497.48,USD,13.56921855,37.81039018,293.65
